profile,branch,eigenvalue,epsilon,theta,theta_over_pi,probability_density,mass
single_wall,chiral,-0.0100508982961,0.02,0.37457604559,0.119231258439,1.15208066879e-27,0.930662821138
single_wall,chiral,-0.0100508982961,0.02,0.376669169441,0.119897520454,1.40213716471e-27,0.929894955028
single_wall,chiral,-0.0100508982961,0.02,0.378762293293,0.120563782469,1.69451492866e-27,0.929123014893
single_wall,chiral,-0.0100508982961,0.02,0.380855417145,0.121230044484,2.05703320213e-27,0.928347004117
single_wall,chiral,-0.0100508982961,0.02,0.382948540996,0.121896306499,2.48581048736e-27,0.927566926098
single_wall,chiral,-0.0100508982961,0.02,0.385041664848,0.122562568514,3.01745573171e-27,0.926782784254
single_wall,chiral,-0.0100508982961,0.02,0.387134788699,0.123228830529,3.65690284149e-27,0.925994582022
single_wall,chiral,-0.0100508982961,0.02,0.389227912551,0.123895092544,4.44413729255e-27,0.925202322854
single_wall,chiral,-0.0100508982961,0.02,0.391321036403,0.124561354559,5.38665926751e-27,0.924406010221
single_wall,chiral,-0.0100508982961,0.02,0.393414160254,0.125227616574,6.52033447698e-27,0.923605647611
single_wall,chiral,-0.0100508982961,0.02,0.395507284106,0.125893878589,7.91048023474e-27,0.922801238533
single_wall,chiral,-0.0100508982961,0.02,0.397600407958,0.126560140604,9.59612010279e-27,0.921992786509
single_wall,chiral,-0.0100508982961,0.02,0.399693531809,0.127226402619,1.16461257267e-26,0.921180295082
single_wall,chiral,-0.0100508982961,0.02,0.401786655661,0.127892664634,1.41179433091e-26,0.920363767811
single_wall,chiral,-0.0100508982961,0.02,0.403879779513,0.128558926649,1.71353432222e-26,0.919543208273
single_wall,chiral,-0.0100508982961,0.02,0.405972903364,0.129225188664,2.07785222366e-26,0.918718620065
single_wall,chiral,-0.0100508982961,0.02,0.408066027216,0.129891450679,2.5205919538e-26,0.917890006798
single_wall,chiral,-0.0100508982961,0.02,0.410159151067,0.130557712693,3.057819735e-26,0.917057372102
single_wall,chiral,-0.0100508982961,0.02,0.412252274919,0.131223974708,3.70217136884e-26,0.916220719626
single_wall,chiral,-0.0100508982961,0.02,0.414345398771,0.131890236723,4.48968388894e-26,0.915380053035
single_wall,chiral,-0.0100508982961,0.02,0.416438522622,0.132556498738,5.43915859625e-26,0.914535376012
single_wall,chiral,-0.0100508982961,0.02,0.418531646474,0.133222760753,6.58398965693e-26,0.913686692258
single_wall,chiral,-0.0100508982961,0.02,0.420624770326,0.133889022768,7.97625777669e-26,0.912834005491
single_wall,chiral,-0.0100508982961,0.02,0.422717894177,0.134555284783,9.65975000995e-26,0.911977319447
single_wall,chiral,-0.0100508982961,0.02,0.424811018029,0.135221546798,1.16871260403e-25,0.911116637879
single_wall,chiral,-0.0100508982961,0.02,0.42690414188,0.135887808813,1.41389021528e-25,0.910251964558
single_wall,chiral,-0.0100508982961,0.02,0.428997265732,0.136554070828,1.71035606999e-25,0.909383303272
single_wall,chiral,-0.0100508982961,0.02,0.431090389584,0.137220332843,2.0685465652e-25,0.908510657827
single_wall,chiral,-0.0100508982961,0.02,0.433183513435,0.137886594858,2.50169686121e-25,0.907634032046
single_wall,chiral,-0.0100508982961,0.02,0.435276637287,0.138552856873,3.02451384107e-25,0.90675342977
single_wall,chiral,-0.0100508982961,0.02,0.437369761139,0.139219118888,3.65594418957e-25,0.905868854857
single_wall,chiral,-0.0100508982961,0.02,0.43946288499,0.139885380903,4.41805404784e-25,0.904980311182
single_wall,chiral,-0.0100508982961,0.02,0.441556008842,0.140551642918,5.3390716898e-25,0.904087802638
single_wall,chiral,-0.0100508982961,0.02,0.443649132693,0.141217904933,6.45063240455e-25,0.903191333136
single_wall,chiral,-0.0100508982961,0.02,0.445742256545,0.141884166948,7.79143719636e-25,0.902290906602
single_wall,chiral,-0.0100508982961,0.02,0.447835380397,0.142550428963,9.40995909575e-25,0.901386526983
single_wall,chiral,-0.0100508982961,0.02,0.449928504248,0.143216690978,1.13628396973e-24,0.900478198239
single_wall,chiral,-0.0100508982961,0.02,0.4520216281,0.143882952993,1.37172632509e-24,0.899565924351
single_wall,chiral,-0.0100508982961,0.02,0.454114751952,0.144549215008,1.65609717403e-24,0.898649709316
single_wall,chiral,-0.0100508982961,0.02,0.456207875803,0.145215477023,1.99865838078e-24,0.897729557147
single_wall,chiral,-0.0100508982961,0.02,0.458300999655,0.145881739038,2.41186926381e-24,0.896805471876
single_wall,chiral,-0.0100508982961,0.02,0.460394123506,0.146548001053,2.90982394335e-24,0.895877457552
single_wall,chiral,-0.0100508982961,0.02,0.462487247358,0.147214263068,3.5100035158e-24,0.89494551824
single_wall,chiral,-0.0100508982961,0.02,0.46458037121,0.147880525083,4.23321103039e-24,0.894009658023
single_wall,chiral,-0.0100508982961,0.02,0.466673495061,0.148546787098,5.10384162495e-24,0.893069881002
single_wall,chiral,-0.0100508982961,0.02,0.468766618913,0.149213049113,6.15284020772e-24,0.892126191293
single_wall,chiral,-0.0100508982961,0.02,0.470859742765,0.149879311128,7.41572822418e-24,0.891178593032
single_wall,chiral,-0.0100508982961,0.02,0.472952866616,0.150545573143,8.93639137977e-24,0.890227090369
single_wall,chiral,-0.0100508982961,0.02,0.475045990468,0.151211835158,1.07663598606e-23,0.889271687474
single_wall,chiral,-0.0100508982961,0.02,0.477139114319,0.151878097173,1.29688407383e-23,0.888312388532
single_wall,chiral,-0.0100508982961,0.02,0.479232238171,0.152544359188,1.56176697369e-23,0.887349197746
single_wall,chiral,-0.0100508982961,0.02,0.481325362023,0.153210621203,1.8803936511e-23,0.886382119336
single_wall,chiral,-0.0100508982961,0.02,0.483418485874,0.153876883218,2.26366401347e-23,0.885411157539
single_wall,chiral,-0.0100508982961,0.02,0.485511609726,0.154543145233,2.72425452072e-23,0.884436316609
single_wall,chiral,-0.0100508982961,0.02,0.487604733578,0.155209407248,3.27806034185e-23,0.883457600816
single_wall,chiral,-0.0100508982961,0.02,0.489697857429,0.155875669263,3.9436471957e-23,0.88247501445
single_wall,chiral,-0.0100508982961,0.02,0.491790981281,0.156541931278,4.74345579256e-23,0.881488561814
single_wall,chiral,-0.0100508982961,0.02,0.493884105132,0.157208193293,5.70406273094e-23,0.88049824723
single_wall,chiral,-0.0100508982961,0.02,0.495977228984,0.157874455308,6.8580360432e-23,0.879504075037
single_wall,chiral,-0.0100508982961,0.02,0.498070352836,0.158540717323,8.2436209407e-23,0.878506049592
single_wall,chiral,-0.0100508982961,0.02,0.500163476687,0.159206979338,9.90702036056e-23,0.877504175265
single_wall,chiral,-0.0100508982961,0.02,0.502256600539,0.159873241353,1.19035061845e-22,0.876498456448
single_wall,chiral,-0.0100508982961,0.02,0.504349724391,0.160539503368,1.42996577563e-22,0.875488897545
single_wall,chiral,-0.0100508982961,0.02,0.506442848242,0.161205765383,1.71745105936e-22,0.87447550298
single_wall,chiral,-0.0100508982961,0.02,0.508535972094,0.161872027398,2.06225756192e-22,0.873458277193
